Year,Month,Mkt-RF,SMB,HML,RF
1971,December,8.71,3.29,-0.38,0.37
1972,January,2.47,5.84,2.12,0.29
1972,February,2.87,1.32,-2.83,0.25
1972,March,0.62,-0.29,-1.61,0.27
1972,April,0.29,0.16,0.03,0.29
1972,May,1.29,-2.71,-2.72,0.3
1972,June,-2.43,0.28,-2.46,0.29
1972,July,-0.8,-2.9,0.6,0.31
1972,August,3.27,-3.99,4.56,0.29
1972,September,-1.14,-2.66,0.49,0.34
1972,October,0.52,-2.73,1.22,0.4
1972,November,4.6,-1.18,4.88,0.37
1972,December,0.62,-1.95,-2.18,0.37
1973,January,-3.27,-3.49,2.7,0.44
1973,February,-4.85,-3.89,1.64,0.42
1973,March,-1.3,-2.78,2.57,0.46
1973,April,-5.68,-3.84,5.39,0.52
1973,May,-2.97,-6.27,0.38,0.51
1973,June,-1.57,-2.84,1.14,0.51
1973,July,5.04,7.92,-5.26,0.64
1973,August,-3.82,-2,1.03,0.7
1973,September,4.74,2.93,2.22,0.68
1973,October,-0.83,-0.21,1.66,0.65
1973,November,-12.78,-7.72,4.09,0.56
1973,December,0.59,-5.4,4.01,0.64
1974,January,-0.16,9.68,5.95,0.63
1974,February,-0.46,0,2.47,0.58
1974,March,-2.82,2.5,-0.14,0.56
1974,April,-5.28,-0.68,0.92,0.75
1974,May,-4.7,-2.93,-2.08,0.75
1974,June,-2.84,-0.24,0.83,0.6
1974,July,-8.06,0.78,5.16,0.7
1974,August,-9.39,-0.69,2.61,0.6
1974,September,-11.79,0.27,5.43,0.81
1974,October,16.11,-3.43,-9.91,0.51
1974,November,-4.53,-1.17,-0.25,0.54
1974,December,-3.44,-4.74,0.12,0.7
1975,January,13.67,11.06,8.26,0.58
1975,February,5.56,0.12,-4.47,0.43
1975,March,2.66,3.75,2.42,0.41
1975,April,4.22,-0.64,-1.13,0.44
1975,May,5.2,3.93,-4.05,0.44
1975,June,4.87,0.81,1.35,0.41
1975,July,-6.6,2.66,1.76,0.48
1975,August,-2.84,-3.17,-0.91,0.48
1975,September,-4.26,-0.16,0.33,0.53
1975,October,5.32,-4.08,0.35,0.56
1975,November,2.65,-1.22,2.03,0.41
1975,December,-1.6,-0.87,1.7,0.48
1976,January,12.15,4.87,8.63,0.47
1976,February,0.31,6.97,5.71,0.34
1976,March,2.32,-1.17,-0.11,0.4
1976,April,-1.49,-0.08,-0.16,0.42
1976,May,-1.34,-1.19,-1.29,0.37
1976,June,4.06,-1.32,0.73,0.43
1976,July,-1.06,0.28,1.74,0.47
1976,August,-0.57,-2.05,0.79,0.42
1976,September,2.06,0.08,-0.31,0.44
1976,October,-2.42,0.14,-0.17,0.41
1976,November,0.36,2.34,1.53,0.4
1976,December,5.65,3.03,2.23,0.4
1977,January,-4.03,4.75,4.32,0.36
1977,February,-1.94,1.03,0.45,0.35
1977,March,-1.35,0.99,1.09,0.38
1977,April,0.15,-0.13,3.38,0.38
1977,May,-1.47,1.25,0.81,0.37
1977,June,4.72,2.07,-0.62,0.4
1977,July,-1.69,2.09,-0.6,0.42
1977,August,-1.76,1.55,-2.77,0.44
1977,September,-0.27,1.5,-0.26,0.43
1977,October,-4.39,1.19,1.62,0.49
1977,November,4,3.68,0.23,0.5
1977,December,0.27,1.36,-0.29,0.49
1978,January,-6,2.28,3.38,0.49
1978,February,-1.39,3.59,0.81,0.46
1978,March,2.85,3.44,1.15,0.53
1978,April,7.87,0.36,-3.54,0.54
